[DEBUG][CDATA][HYBRID] originalContent='测试', hadCdata=false, newValue='更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='测试', newValue='已更新'
[DEBUG][CDATA] originalContent='测试', hadCdata=false, newValue='已更新'
[DEBUG][CDATA][HYBRID] originalContent='目标元素', hadCdata=false, newValue='大型文件测试成功'
[DEBUG][CDATA][HYBRID] originalContent='测试一', hadCdata=false, newValue='测试二'
[DEBUG][CDATA][HYBRID] originalContent='More Text', hadCdata=false, newValue='UpdatedText'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='测试1', newValue='已更新'
[DEBUG][CDATA] originalContent='测试1', hadCdata=false, newValue='已更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='null'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='null'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='UpdatedApple'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='UpdatedApple'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='UpdatedApple', newValue='<![CDATA[UpdatedCarrot]]>'
[DEBUG][CDATA] originalContent='UpdatedApple', hadCdata=false, newValue='<![CDATA[UpdatedCarrot]]>'
[DEBUG][CDATA][HYBRID] originalContent='原始值', hadCdata=false, newValue='已更新'
[DEBUG][CDATA][HYBRID] originalContent='测试二ID', hadCdata=false, newValue='测试一ID'
[DEBUG][CDATA][EXTRACT] tag='entry', originalContent='First', newValue='Updated'
[DEBUG][CDATA] originalContent='First', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='target', originalContent='OriginalValue', newValue='UpdatedValue'
[DEBUG][CDATA] originalContent='OriginalValue', hadCdata=false, newValue='UpdatedValue'
[DEBUG][CDATA][HYBRID] originalContent='测试内容', hadCdata=false, newValue='更新后的内容'
[DEBUG][CDATA][EXTRACT] tag='data', originalContent='Value', newValue='Updated'
[DEBUG][CDATA] originalContent='Value', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][EXTRACT] tag='child', originalContent='Text', newValue='Updated'
[DEBUG][CDATA] originalContent='Text', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='苹果', newValue='更新'
[DEBUG][CDATA] originalContent='苹果', hadCdata=false, newValue='更新'
[DEBUG][CDATA][EXTRACT] tag='target', originalContent='Original', newValue='Updated'
[DEBUG][CDATA] originalContent='Original', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='   	\n  ', hadCdata=false, newValue='空白内容已更新'
[DEBUG][CDATA][HYBRID] originalContent='无换行测试', hadCdata=false, newValue='无换行更新成功'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='测试2', hadCdata=false, newValue='已更新的内容'
[DEBUG][CDATA][HYBRID] originalContent='原始值', hadCdata=false, newValue='已更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='LF测试', hadCdata=false, newValue='LF更新成功'
[DEBUG][CDATA][HYBRID] originalContent='CR测试', hadCdata=false, newValue='CR更新成功'
[DEBUG][CDATA][HYBRID] originalContent='CRLF测试', hadCdata=false, newValue='CRLF更新成功'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='child', originalContent='Text', newValue='Updated'
[DEBUG][CDATA] originalContent='Text', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][HYBRID] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test with émojis 🎉 and 中文', newValue='Updated with émojis 🎉 and 中文'
[DEBUG][CDATA] originalContent='Test with émojis 🎉 and 中文', hadCdata=false, newValue='Updated with émojis 🎉 and 中文'
[DEBUG][CDATA][HYBRID] originalContent='', hadCdata=false, newValue='空内容已更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Test', newValue='Updated'
[DEBUG][CDATA] originalContent='Test', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][HYBRID] originalContent='正常内容', hadCdata=false, newValue='更新的特殊字符：&lt;&gt;&amp;'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='old', newValue='new'
[DEBUG][CDATA] originalContent='old', hadCdata=false, newValue='new'
[DEBUG][CDATA][HYBRID] originalContent='Final Text', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='First', newValue='Updated'
[DEBUG][CDATA] originalContent='First', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='entry', originalContent='First', newValue='Updated'
[DEBUG][CDATA] originalContent='First', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue=''
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue=''
[DEBUG][CDATA][HYBRID] originalContent='内容', hadCdata=false, newValue='处理指令测试'
[DEBUG][CDATA][HYBRID] originalContent='苹果', hadCdata=false, newValue='更新'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
[DEBUG][CDATA][EXTRACT] tag='item', originalContent='Apple', newValue='Updated'
[DEBUG][CDATA] originalContent='Apple', hadCdata=false, newValue='Updated'
